nome_arquivo,imagem,threshold,prompt_fundo,prompt_roupa,clip_fundo,clip_inpainting,psnr_fundo,psnr_inpainting
img-03-mscoco__fundo_0015__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th01__A_scientist.jpg,img-03-mscoco,0.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1387939453125,0.2418212890625,7.914977034509272,8.249376960518392
img-03-mscoco__fundo_0015__A sunset__th01__A_scientist.jpg,img-03-mscoco,0.1,A sunset,A scientist,0.1988525390625,0.2442626953125,10.008064961859116,8.57923438542697
img-03-mscoco__fundo_0015__The Parthenon in front of the Great Pyramid__th01__A_scientist.jpg,img-03-mscoco,0.1,The Parthenon in front of the Great Pyramid,A scientist,0.1253662109375,0.2384033203125,8.830635038806943,8.251685472179183
img-03-mscoco__fundo_0015__The city of London__th01__A_scientist.jpg,img-03-mscoco,0.1,The city of London,A scientist,0.1888427734375,0.262451171875,10.559299736490733,8.513239899864184
img-03-mscoco__fundo_0039__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th03__A_scientist.jpg,img-03-mscoco,0.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.13330078125,0.2125244140625,8.309332401438985,8.800027742004623
img-03-mscoco__fundo_0039__A sunset__th03__A_scientist.jpg,img-03-mscoco,0.3,A sunset,A scientist,0.208984375,0.236083984375,9.81470371752978,8.967377259904364
img-03-mscoco__fundo_0039__The Parthenon in front of the Great Pyramid__th03__A_scientist.jpg,img-03-mscoco,0.3,The Parthenon in front of the Great Pyramid,A scientist,0.2174072265625,0.238525390625,9.672707834267065,8.532610194017812
img-03-mscoco__fundo_0039__The city of London__th03__A_scientist.jpg,img-03-mscoco,0.3,The city of London,A scientist,0.2279052734375,0.20361328125,10.569494270624837,8.368405339054165
img-03-mscoco__fundo_0063__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th05__A_scientist.jpg,img-03-mscoco,0.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1865234375,0.2254638671875,8.59885777513793,8.887161249679835
img-03-mscoco__fundo_0063__A sunset__th05__A_scientist.jpg,img-03-mscoco,0.5,A sunset,A scientist,0.232666015625,0.2376708984375,9.711796873845856,9.209589519389246
img-03-mscoco__fundo_0063__The Parthenon in front of the Great Pyramid__th05__A_scientist.jpg,img-03-mscoco,0.5,The Parthenon in front of the Great Pyramid,A scientist,0.224853515625,0.2314453125,10.220816192712464,8.587437817363764
img-03-mscoco__fundo_0063__The city of London__th05__A_scientist.jpg,img-03-mscoco,0.5,The city of London,A scientist,0.2286376953125,0.2080078125,10.313369373229166,8.753078374410194
img-03-mscoco__fundo_0087__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th07__A_scientist.jpg,img-03-mscoco,0.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.210693359375,0.2325439453125,8.2833157553119,8.770663474817932
img-03-mscoco__fundo_0087__A sunset__th07__A_scientist.jpg,img-03-mscoco,0.7,A sunset,A scientist,0.20068359375,0.224853515625,9.349182563402401,9.124347567299269
img-03-mscoco__fundo_0087__The Parthenon in front of the Great Pyramid__th07__A_scientist.jpg,img-03-mscoco,0.7,The Parthenon in front of the Great Pyramid,A scientist,0.201171875,0.2259521484375,9.73263133016885,8.51524232366102
img-03-mscoco__fundo_0087__The city of London__th07__A_scientist.jpg,img-03-mscoco,0.7,The city of London,A scientist,0.2384033203125,0.214599609375,10.849995649396355,9.014617270216842
img-03-mscoco__fundo_0111__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th09__A_scientist.jpg,img-03-mscoco,0.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.184326171875,0.260009765625,9.24796727456506,8.806584230466854
img-03-mscoco__fundo_0111__A sunset__th09__A_scientist.jpg,img-03-mscoco,0.9,A sunset,A scientist,0.18603515625,0.218017578125,10.385411670046135,8.958110735420684
img-03-mscoco__fundo_0111__The Parthenon in front of the Great Pyramid__th09__A_scientist.jpg,img-03-mscoco,0.9,The Parthenon in front of the Great Pyramid,A scientist,0.216064453125,0.232421875,10.299156246363982,8.320796787995837
img-03-mscoco__fundo_0111__The city of London__th09__A_scientist.jpg,img-03-mscoco,0.9,The city of London,A scientist,0.223876953125,0.2159423828125,10.627891093080226,8.79426523669166
img-03-mscoco__fundo_0135__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th11__A_scientist.jpg,img-03-mscoco,1.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.203125,0.2247314453125,9.700120216733055,8.523686073862244
img-03-mscoco__fundo_0135__A sunset__th11__A_scientist.jpg,img-03-mscoco,1.1,A sunset,A scientist,0.19921875,0.2685546875,9.350744018433675,8.92315930985502
img-03-mscoco__fundo_0135__The Parthenon in front of the Great Pyramid__th11__A_scientist.jpg,img-03-mscoco,1.1,The Parthenon in front of the Great Pyramid,A scientist,0.2484130859375,0.2178955078125,8.3572437667642,7.02001264760155
img-03-mscoco__fundo_0135__The city of London__th11__A_scientist.jpg,img-03-mscoco,1.1,The city of London,A scientist,0.2371826171875,0.2310791015625,10.992204307978847,9.029750193603988
img-03-mscoco__fundo_0159__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th13__A_scientist.jpg,img-03-mscoco,1.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.1929931640625,0.2344970703125,8.17742526958515,9.141065155247736
img-03-mscoco__fundo_0159__A sunset__th13__A_scientist.jpg,img-03-mscoco,1.3,A sunset,A scientist,0.2056884765625,0.25732421875,9.73587750254773,8.475138896374856
img-03-mscoco__fundo_0159__The Parthenon in front of the Great Pyramid__th13__A_scientist.jpg,img-03-mscoco,1.3,The Parthenon in front of the Great Pyramid,A scientist,0.1785888671875,0.2318115234375,10.132183057490302,8.963439951751237
img-03-mscoco__fundo_0159__The city of London__th13__A_scientist.jpg,img-03-mscoco,1.3,The city of London,A scientist,0.227294921875,0.2064208984375,11.1144724281674,9.397979447927806
img-03-mscoco__fundo_0183__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th15__A_scientist.jpg,img-03-mscoco,1.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.28857421875,0.2298583984375,8.332960746993825,10.043629019400768
img-03-mscoco__fundo_0183__A sunset__th15__A_scientist.jpg,img-03-mscoco,1.5,A sunset,A scientist,0.2406005859375,0.2484130859375,11.158125334130766,9.544368333811853
img-03-mscoco__fundo_0183__The Parthenon in front of the Great Pyramid__th15__A_scientist.jpg,img-03-mscoco,1.5,The Parthenon in front of the Great Pyramid,A scientist,0.2841796875,0.212646484375,11.932477243536969,10.746902302205996
img-03-mscoco__fundo_0183__The city of London__th15__A_scientist.jpg,img-03-mscoco,1.5,The city of London,A scientist,0.263916015625,0.20166015625,11.59627104637098,9.495096734434457
img-03-mscoco__fundo_0207__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th17__A_scientist.jpg,img-03-mscoco,1.7,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.278564453125,0.2425537109375,7.764597439310833,10.314010179503258
img-03-mscoco__fundo_0207__A sunset__th17__A_scientist.jpg,img-03-mscoco,1.7,A sunset,A scientist,0.2398681640625,0.241455078125,10.519148418246871,8.334004379222254
img-03-mscoco__fundo_0207__The Parthenon in front of the Great Pyramid__th17__A_scientist.jpg,img-03-mscoco,1.7,The Parthenon in front of the Great Pyramid,A scientist,0.24951171875,0.2198486328125,12.024970012042754,10.045828249361737
img-03-mscoco__fundo_0207__The city of London__th17__A_scientist.jpg,img-03-mscoco,1.7,The city of London,A scientist,0.269287109375,0.20703125,11.129115837084228,9.61867684200799
img-03-mscoco__fundo_0231__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th19__A_scientist.jpg,img-03-mscoco,1.9,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A scientist,0.37548828125,0.207763671875,8.706947623041119,9.912160952086987
img-03-mscoco__fundo_0231__A sunset__th19__A_scientist.jpg,img-03-mscoco,1.9,A sunset,A scientist,0.271240234375,0.1943359375,12.314396454899939,9.785620707418229
img-03-mscoco__fundo_0231__The Parthenon in front of the Great Pyramid__th19__A_scientist.jpg,img-03-mscoco,1.9,The Parthenon in front of the Great Pyramid,A scientist,0.2841796875,0.193359375,11.656921040445905,10.66353219336693
img-03-mscoco__fundo_0231__The city of London__th19__A_scientist.jpg,img-03-mscoco,1.9,The city of London,A scientist,0.29833984375,0.1910400390625,11.554296465555147,9.813906816580772
img-03-mscoco__fundo_0255__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.154541015625,0.3173828125,8.385705331919233,10.305581057903865
img-03-mscoco__fundo_0255__A sunset__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,A sunset,A photograph of a knight in shining armor holding a basketball,0.1912841796875,0.289306640625,8.557731491678638,9.377799516507343
img-03-mscoco__fundo_0255__The Parthenon in front of the Great Pyramid__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.1729736328125,0.299072265625,9.004667375965887,9.463941035938722
img-03-mscoco__fundo_0255__The city of London__th01__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.1,The city of London,A photograph of a knight in shining armor holding a basketball,0.2012939453125,0.261474609375,9.65748616425281,10.198242908253423
img-03-mscoco__fundo_0279__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.15478515625,0.306884765625,9.041104747462324,10.718202398959786
img-03-mscoco__fundo_0279__A sunset__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,A sunset,A photograph of a knight in shining armor holding a basketball,0.181640625,0.356201171875,10.525542940145474,10.839764170816874
img-03-mscoco__fundo_0279__The Parthenon in front of the Great Pyramid__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,The Parthenon in front of the Great Pyramid,A photograph of a knight in shining armor holding a basketball,0.215576171875,0.28125,10.206665726098308,10.03299033566648
img-03-mscoco__fundo_0279__The city of London__th03__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.3,The city of London,A photograph of a knight in shining armor holding a basketball,0.2049560546875,0.26513671875,10.766371927391344,10.67767543946253
img-03-mscoco__fundo_0303__A single beam of light enters the room from the ceiling The beam of light is illuminating an easel On the easel there is a Rembrandt painting of a raccoon__th05__A_photograph_of_a_knight_in_shining_armor_holding_a_basketball.jpg,img-03-mscoco,0.5,"A single beam of light enters the room from the ceiling. The beam of light is illuminating an easel. On the easel, there is a Rembrandt painting of a raccoon.",A photograph of a knight in shining armor holding a basketball,0.1512451171875,0.29052734375,8.55627610767657,10.807364739766884
